participantID,stimulusID,pleasure,arousal,dominance,openness,hominess,safety,fascination,beauty
pb08,LTHB02,3,3,8,2,3,4,2,2
pb08,LTHB16,5,5,6,2,3,4,1,1
pb08,HTLB13,5,5,7,2,2,3,1,1
pb08,LTHB09,4,7,7,4,3,5,3,4
pb08,LTHB11,7,5,7,1,2,4,2,1
pb08,HTHB10,5,7,6,3,2,3,1,2
pb08,LTLB15,3,8,8,4,4,5,3,4
pb08,HTHB04,7,3,4,3,3,2,1,1
pb08,HTLB02,3,8,8,4,5,5,3,4
pb08,HTHB17,7,3,3,2,2,3,2,2
pb08,LTLB14,5,7,7,3,3,4,2,3
pb08,HTLB25,2,8,8,4,4,4,4,4
pb08,LTHB24,7,3,6,2,2,4,2,1
pb08,LTLB24,2,7,8,4,3,5,3,3
pb08,LTLB11,3,7,8,4,4,5,3,4
pb08,LTHB07,5,4,6,3,1,4,3,3
pb08,HTHB11,4,6,7,4,3,4,3,2
pb08,LTHB14,4,3,5,2,1,3,4,1
pb08,LTLB21,5,5,7,3,2,4,1,2
pb08,LTHB18,3,3,4,4,3,3,4,2
pb08,HTLB20,3,7,7,4,4,4,2,3
pb08,HTLB05,2,8,7,3,5,4,4,5
pb08,LTHB17,6,4,6,1,2,4,2,1
pb08,LTLB04,3,6,7,3,4,4,2,4
pb08,HTHB22,6,2,3,1,1,2,2,1
pb08,LTLB02,3,7,7,4,3,5,4,2
pb08,LTLB16,2,7,7,4,4,5,3,4
pb08,HTHB12,7,4,4,3,1,2,2,1
pb08,LTLB22,6,5,5,2,2,4,2,2
pb08,HTHB07,5,4,4,2,2,4,2,2
pb08,LTLB05,3,3,6,4,4,4,4,3
pb08,LTLB13,5,5,7,2,2,4,3,2
pb08,HTLB24,2,8,8,4,5,5,3,3
pb08,HTLB12,5,7,7,4,4,4,2,2
pb08,HTLB17,5,6,7,4,4,4,3,3
pb08,LTLB12,3,4,6,4,4,4,3,4
pb08,LTHB13,4,4,3,2,1,4,4,2
pb08,LTHB01,7,2,3,2,1,1,2,1
pb08,LTLB08,4,7,6,4,3,4,2,3
pb08,HTLB19,3,7,7,4,4,4,4,4
pb08,LTLB10,3,7,7,3,4,4,3,4
pb08,HTLB18,3,7,7,4,4,4,3,4
pb08,LTHB19,3,3,5,4,4,4,4,3
pb08,HTLB09,4,7,7,4,4,4,3,4
pb08,LTHB23,4,3,2,1,1,4,4,1
pb08,HTHB25,5,5,7,2,3,4,1,1
pb08,HTHB01,5,5,5,3,3,4,2,2
pb08,LTHB12,2,3,7,2,1,4,3,1
pb08,HTLB15,3,8,8,4,5,4,3,3
pb08,HTHB03,3,3,3,2,1,4,4,1
pb08,HTHB06,7,2,3,1,1,3,1,1
pb08,HTLB07,4,4,4,3,2,3,3,2
pb08,HTLB16,3,6,7,4,4,3,3,3
pb08,LTHB15,7,3,3,1,1,3,2,1
pb08,HTHB19,7,5,7,3,3,3,3,3
pb08,HTHB14,6,2,4,3,2,4,2,1
pb08,HTLB11,2,7,8,4,4,5,4,4
pb08,LTLB17,5,7,7,4,4,4,2,2
pb08,HTHB16,5,5,5,2,1,3,2,1
pb08,HTHB18,8,3,2,2,1,3,2,1
