participantID,stimulusID,pleasure,arousal,dominance,openness,hominess,safety,fascination,beauty
pb0202,LTHB02,6,6,3,2,1,3,1,2
pb0202,LTHB16,8,7,3,3,1,4,1,1
pb0202,HTLB13,5,7,5,3,1,1,3,1
pb0202,LTHB09,5,7,3,2,1,3,2,4
pb0202,LTHB11,9,7,1,1,1,3,2,2
pb0202,HTHB10,4,6,5,4,3,2,1,2
pb0202,LTLB15,3,9,7,4,3,5,2,4
pb0202,HTHB04,8,3,3,2,1,3,1,1
pb0202,HTLB02,3,7,5,2,4,2,3,4
pb0202,HTHB17,6,3,6,4,1,4,1,2
pb0202,LTLB14,7,8,2,1,1,2,1,1
pb0202,HTLB25,3,4,7,4,4,5,2,4
pb0202,LTHB24,7,7,3,2,1,4,1,1
pb0202,LTLB24,5,9,7,3,1,2,1,1
pb0202,LTLB11,6,9,3,2,3,3,2,3
pb0202,LTHB07,5,8,6,2,1,3,1,1
pb0202,HTHB11,5,7,3,3,1,4,1,2
pb0202,LTHB14,3,4,2,2,1,1,5,4
pb0202,LTLB21,7,7,3,1,1,1,1,1
pb0202,LTHB18,6,2,4,2,1,1,4,2
pb0202,HTLB20,5,7,3,4,2,3,1,1
pb0202,HTLB05,3,8,5,2,3,5,4,4
pb0202,LTHB17,5,5,4,1,1,2,3,1
pb0202,LTLB04,6,5,4,2,2,3,1,1
pb0202,HTHB22,7,3,3,2,1,2,1,1
pb0202,LTLB02,6,7,7,2,3,4,2,2
pb0202,LTLB16,6,4,3,2,3,2,4,3
pb0202,HTHB12,8,5,3,2,1,1,1,1
pb0202,LTLB22,6,5,3,2,1,2,1,1
pb0202,HTHB07,7,5,3,2,1,3,1,1
pb0202,LTLB05,4,6,7,3,1,2,3,2
pb0202,LTLB13,7,4,2,1,1,2,2,2
pb0202,HTLB24,3,7,8,3,4,4,1,3
pb0202,HTLB12,5,4,4,2,1,2,1,3
pb0202,HTLB17,8,7,7,3,1,4,1,1
pb0202,LTLB12,5,5,7,2,3,2,1,2
pb0202,LTHB13,5,6,5,1,1,2,2,3
pb0202,LTHB01,7,3,3,3,1,2,1,2
pb0202,LTLB08,4,7,7,3,2,3,1,2
pb0202,HTLB19,7,6,4,2,3,3,1,3
pb0202,LTLB10,5,4,3,2,2,4,1,2
pb0202,HTLB18,2,8,9,4,5,4,3,4
pb0202,LTHB19,7,3,3,3,1,2,4,1
pb0202,HTLB09,5,5,3,2,3,3,2,3
pb0202,LTHB23,5,6,3,2,1,4,3,1
pb0202,HTHB25,3,7,3,2,1,2,1,1
pb0202,HTHB01,4,7,7,2,3,2,2,3
pb0202,LTHB12,8,4,3,2,1,1,1,1
pb0202,HTLB15,5,6,3,3,3,4,1,2
pb0202,HTHB03,5,4,7,1,1,3,1,1
pb0202,HTHB06,6,4,3,2,1,3,1,1
pb0202,HTLB07,7,5,7,2,2,3,1,2
pb0202,HTLB16,3,4,6,2,1,3,1,1
pb0202,LTHB15,7,5,3,1,1,2,3,2
pb0202,HTHB19,3,5,3,3,3,2,1,2
pb0202,HTHB14,4,5,7,3,1,2,1,2
pb0202,HTLB11,3,5,7,3,4,3,2,3
pb0202,LTLB17,6,4,2,1,1,1,1,1
pb0202,HTHB16,7,5,6,2,1,2,1,1
pb0202,HTHB18,4,5,7,3,1,3,1,3
