participantID,stimulusID,pleasure,arousal,dominance,openness,hominess,safety,fascination,beauty
pb01,LTHB02,5,5,5,2,2,4,2,2
pb01,LTHB16,5,5,5,2,2,4,2,2
pb01,HTLB13,5,5,5,2,1,2,2,1
pb01,LTHB09,5,5,5,3,3,4,3,4
pb01,LTHB11,5,5,5,3,2,4,2,2
pb01,HTHB10,7,3,3,1,1,3,2,2
pb01,LTLB15,3,3,8,3,3,4,4,4
pb01,HTHB04,5,5,5,3,1,4,2,2
pb01,HTLB02,3,5,7,4,3,4,3,3
pb01,HTHB17,5,6,6,3,3,4,2,2
pb01,LTLB14,5,6,7,3,3,4,3,3
pb01,HTLB25,5,6,7,2,3,4,3,3
pb01,LTHB24,6,7,7,3,1,4,2,2
pb01,LTLB24,5,6,7,2,2,4,2,4
pb01,LTLB11,3,4,7,3,4,4,3,4
pb01,LTHB07,5,6,7,2,2,4,2,3
pb01,HTHB11,7,8,5,2,1,4,2,1
pb01,LTHB14,8,8,6,1,1,4,2,1
pb01,LTLB21,4,6,7,3,3,4,2,3
pb01,LTHB18,3,5,5,4,3,3,4,3
pb01,HTLB20,2,4,8,3,4,5,3,4
pb01,HTLB05,4,5,7,2,3,5,4,3
pb01,LTHB17,5,3,7,3,2,4,2,2
pb01,LTLB04,3,4,7,4,3,4,4,4
pb01,HTHB22,4,6,7,4,2,4,4,2
pb01,LTLB02,4,4,7,3,3,5,4,3
pb01,LTLB16,4,4,7,3,3,4,3,3
pb01,HTHB12,4,5,6,3,2,4,4,3
pb01,LTLB22,3,4,7,4,3,4,4,2
pb01,HTHB07,5,5,6,3,1,4,2,2
pb01,LTLB05,4,4,7,4,3,3,3,3
pb01,LTLB13,5,4,7,3,2,4,4,2
pb01,HTLB24,5,4,7,4,4,3,4,3
pb01,HTLB12,8,7,8,2,2,3,1,2
pb01,HTLB17,7,7,7,3,2,4,2,2
pb01,LTLB12,3,4,7,4,3,4,4,4
pb01,LTHB13,7,7,7,2,1,4,3,1
pb01,LTHB01,6,7,7,3,2,4,2,3
pb01,LTLB08,6,6,7,3,2,4,3,3
pb01,HTLB19,4,4,6,3,4,3,4,3
pb01,LTLB10,4,6,7,4,3,4,3,3
pb01,HTLB18,6,8,7,1,2,4,1,2
pb01,LTHB19,3,4,6,4,3,2,4,4
pb01,HTLB09,4,4,7,4,2,3,4,3
pb01,LTHB23,6,7,5,2,2,4,2,2
pb01,HTHB25,6,6,6,2,2,4,3,3
pb01,HTHB01,6,6,7,2,2,4,3,2
pb01,LTHB12,7,8,4,3,1,4,3,1
pb01,HTLB15,5,5,7,3,3,4,2,2
pb01,HTHB03,5,7,6,2,2,4,3,2
pb01,HTHB06,6,5,6,2,2,4,3,2
pb01,HTLB07,4,4,8,4,4,4,4,3
pb01,HTLB16,4,4,6,3,4,3,4,3
pb01,LTHB15,6,7,6,3,2,4,2,2
pb01,HTHB19,7,8,5,2,1,3,1,1
pb01,HTHB14,6,6,7,2,2,4,3,2
pb01,HTLB11,4,4,8,3,4,4,4,4
pb01,LTLB17,4,6,7,4,3,4,4,3
pb01,HTHB16,9,9,5,2,1,3,2,1
pb01,HTHB18,6,5,7,2,4,4,2,3
