participantID,stimulusID,pleasure,arousal,dominance,openness,hominess,safety,fascination,beauty
pb07,LTHB02,3,4,4,4,4,3,1,3
pb07,LTHB16,7,7,3,2,1,4,1,1
pb07,HTLB13,8,5,7,1,1,1,1,1
pb07,LTHB09,3,8,8,4,4,5,3,4
pb07,LTHB11,3,7,5,2,2,5,3,2
pb07,HTHB10,7,7,3,2,1,1,1,1
pb07,LTLB15,2,7,3,4,4,5,4,5
pb07,HTHB04,5,7,3,2,2,2,2,2
pb07,HTLB02,2,7,3,5,5,5,4,5
pb07,HTHB17,3,4,3,2,3,2,2,4
pb07,LTLB14,5,7,5,2,2,5,2,1
pb07,HTLB25,2,7,4,3,4,2,2,5
pb07,LTHB24,6,7,5,2,2,2,1,1
pb07,LTLB24,4,6,4,3,3,4,4,4
pb07,LTLB11,3,8,5,5,5,5,4,5
pb07,LTHB07,3,7,4,3,3,4,4,4
pb07,HTHB11,4,3,3,2,1,2,2,2
pb07,LTHB14,7,3,3,1,1,1,1,1
pb07,LTLB21,7,7,6,2,1,2,1,1
pb07,LTHB18,7,2,4,1,1,1,1,1
pb07,HTLB20,4,7,6,4,4,2,3,4
pb07,HTLB05,2,8,3,5,5,5,5,5
pb07,LTHB17,6,7,3,2,4,2,1,4
pb07,LTLB04,4,7,4,4,4,3,3,5
pb07,HTHB22,6,7,8,3,5,2,2,5
pb07,LTLB02,6,5,6,2,2,2,2,4
pb07,LTLB16,7,7,4,2,2,4,2,4
pb07,HTHB12,4,4,6,1,1,4,1,1
pb07,LTLB22,4,7,4,2,1,4,2,1
pb07,HTHB07,6,6,3,2,1,2,1,2
pb07,LTLB05,6,3,5,2,2,3,1,2
pb07,LTLB13,3,3,6,2,2,2,2,3
pb07,HTLB24,4,7,5,3,3,3,2,3
pb07,HTLB12,6,7,6,2,2,2,3,3
pb07,HTLB17,7,7,6,1,1,1,2,1
pb07,LTLB12,6,7,6,4,4,4,3,4
pb07,LTHB13,7,6,6,2,2,2,2,2
pb07,LTHB01,6,4,6,3,2,4,3,2
pb07,LTLB08,6,5,6,1,1,1,1,1
pb07,HTLB19,3,8,6,4,4,4,2,5
pb07,LTLB10,3,7,6,3,2,2,4,3
pb07,HTLB18,6,3,7,4,2,4,2,4
pb07,LTHB19,7,7,7,4,1,2,2,1
pb07,HTLB09,5,6,6,4,4,2,2,4
pb07,LTHB23,6,7,5,2,3,2,2,2
pb07,HTHB25,4,5,5,1,1,2,2,1
pb07,HTHB01,6,5,6,2,2,2,2,3
pb07,LTHB12,7,4,7,2,1,2,2,1
pb07,HTLB15,5,7,7,1,1,5,1,1
pb07,HTHB03,5,7,5,4,4,2,2,4
pb07,HTHB06,4,3,7,3,2,4,2,2
pb07,HTLB07,6,3,5,3,3,2,3,3
pb07,HTLB16,5,4,6,4,4,3,2,4
pb07,LTHB15,3,6,5,3,2,2,2,2
pb07,HTHB19,7,5,7,3,2,3,2,2
pb07,HTHB14,6,5,6,3,2,2,2,2
pb07,HTLB11,5,6,5,3,4,3,4,4
pb07,LTLB17,7,8,5,1,1,2,1,1
pb07,HTHB16,7,6,6,2,2,2,2,2
pb07,HTHB18,6,5,4,2,4,3,2,2
